TimeStamp,btcusd,ethusd,ustusd,xrpusd,ltcusd,solusd,eosusd,dotusd,adausd,iotusd,uniusd,xtzusd,trxusd,omgusd,zecusd,etcusd,udcusd,dshusd,xlmusd,neousd
1375920000000,-0.008213598537388744,-1,-1,-1,-0.054276886854438426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376006400000,-0.028760152175262687,-1,-1,-1,0.031375122567753835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376092800000,-0.02112339302256725,-1,-1,-1,-0.055569851154810654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376179200000,0.013240949141802514,-1,-1,-1,-0.05452083887841711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376265600000,0.005226399822648482,-1,-1,-1,-0.008658062743114541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376352000000,0.014469281320817286,-1,-1,-1,0.004338401598598362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376438400000,0.02873285713164907,-1,-1,-1,0.0710110356431887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376524800000,0.010237786444519604,-1,-1,-1,-0.03696519423347147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376611200000,-0.010951234979088488,-1,-1,-1,0.00833338155914424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376697600000,0.0022405549652196087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376784000000,0.011128086509407487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376870400000,-0.0015101940952286508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1376956800000,0.03319601316936923,-1,-1,-1,-0.012631746905900687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377043200000,0.022550825521896613,-1,-1,-1,-0.01279335145990947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377129600000,0.050993077800473824,-1,-1,-1,0.017021687569430743,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377216000000,-0.011933641963887544,-1,-1,-1,-0.008474626990972232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377302400000,-0.011336004531903315,-1,-1,-1,0.0816780310142671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377388800000,0.003792964443696161,-1,-1,-1,-0.060624621816434854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377475200000,0.04345564253634476,-1,-1,-1,-0.04255961441879601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377561600000,-0.005852118137964931,-1,-1,-1,0.07534943724178679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377648000000,0.04563033586090636,-1,-1,-1,-0.06664827197932327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377734400000,0.002545610199433596,-1,-1,-1,0.029724917874725375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377820800000,0.004228336109521105,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377907200000,0.05252038929980799,-1,-1,-1,0.004175197080242216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1377993600000,0.02303319206844055,-1,-1,-1,0.0041163443500283935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378080000000,0.020216791725376045,-1,-1,-1,-0.025211419346496056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378166400000,-0.0073886274712638466,-1,-1,-1,0.02521141934649607,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378252800000,-0.002087925593219861,-1,-1,-1,-0.004158010148663788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378339200000,-0.05522045518611638,-1,-1,-1,0.06843716155322847,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378425600000,-0.0019652806849537567,-1,-1,-1,0.004077279699516343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378512000000,-0.05043085362689197,-1,-1,-1,0.007528266420791588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378598400000,0.032150018636875145,-1,-1,-1,0.007662872745569097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378684800000,-0.015225091168310449,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378771200000,0.029399144205673872,-1,-1,-1,-0.019268418865877143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378857600000,0.004680387901104999,-1,-1,-1,-0.02362314576343594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1378944000000,0.03438203478884613,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379030400000,0.0022927629919626325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379116800000,0.004333957376744808,-1,-1,-1,-0.056695343676545294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379203200000,-0.021297689934499445,-1,-1,-1,0.04879016416943204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379289600000,0.004487906234389661,-1,-1,-1,0.050296964882773444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379376000000,0.004945371808213813,-1,-1,-1,-0.0037769492478804062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379462400000,0.011471191014665339,-1,-1,-1,-0.0346855579878901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379548800000,-0.0018108102416889843,-1,-1,-1,-0.019802627296179643,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379635200000,-0.020057979044598787,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379721600000,-0.011807658413459241,-1,-1,-1,0.01976341084095005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379808000000,0.005840380001631711,-1,-1,-1,-0.048162885362647956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379894400000,-0.0054336940795597375,-1,-1,-1,-0.004123717183862152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379980800000,-0.0017906565097258902,-1,-1,-1,-0.008298802814695066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1380067200000,0.01085734211189827,-1,-1,-1,-0.04255961441879601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1380153600000,-0.0027437073377285987,-1,-1,-1,-0.021978906718775115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
