Currency,StartTime,EndTime,Days,Open,Close,High,Low,TradeValue,DailyTradeValue,TradeValue1Y,DailyTradeValue1Y
stjusd,1525524600000,1640946420000,1335,1.2088,1.7982,3.82,0.057731,17435846.2390018,13060.5589805257,16666897.2917063,45662.7323060448
qtfusd,1622035560000,1640952600000,218,4,18.061,30,4,15156043.8591014,69523.1369683553,15156043.8591014,41523.4078331547
pluusd,1606911060000,1640954580000,394,8,5.8202,27,3,15769013.5824457,40022.8771128064,15068062.7643024,41282.3637378147
yggusd,1540091160000,1640916900000,1166,0.001998,0.00029,0.0051,5E-05,16495921.0864707,14147.4451856524,14648605.8325461,40133.16666451
srmusd,1638353340000,1640954340000,30,5.9074,3.5267,5.9375,3.1931,14628444.4117279,487614.813724264,14628444.4117279,40077.929895145
datusd,1510567320000,1640941200000,1508,0.0724,0.1233,0.37499,0.0054187,430931403.464454,285763.530148842,14493632.0046045,39708.5808345328
ancusd,1634893260000,1640954880000,70,3.3305,3.6917,4.4818,2.8896,13293651.8867847,189909.312668352,13293651.8867847,36420.9640733827
gtxusd,1560515880000,1640950440000,930,0.7,6.7554,58001,0.006666,17427948.4483563,18739.7295143617,12687448.9922115,34760.134225237
comp-usd,1628623140000,1630242900000,18,473,410.19,529.52,391.01,10064311.7558203,559128.430878903,10064311.7558203,27573.456865261
eususd,1556813280000,1640948760000,973,2,1.144,2,0.5743,13593961.4045955,13971.1833551855,9929317.09167389,27203.6084703394
dgbusd,1541172960000,1640948460000,1154,0.05,0.034533,0.18091,0.0022671,13188444.2664227,11428.4612360682,9742896.36217892,26692.8667456957
iqxusd,1531495680000,1640947560000,1266,0.01,0.012329,0.12999,0.0006304,22055683.1057752,17421.5506364733,9508981.77575525,26052.0048650829
mlnusd,1539882420000,1640948220000,1169,2900,91.551,2900,1.6767,11362448.9057418,9719.80231457808,9431170.44137356,25838.8231270508
waxusd,1524427620000,1640944860000,1348,0.3385,0.4575,0.97403,0.02306,14592585.6868505,10825.3603018179,9232504.97573365,25294.5341800922
xchusd,1556812740000,1640949780000,973,1.5,1.0926,9,0.208,10846799.0063787,11147.7893179637,9180530.09557087,25152.1372481394
zmtusd,1639648920000,1640955240000,15,2.4,4.4286,66.541,2.05,9149523.73311813,609968.248874542,9149523.73311813,25067.1883099127
omnusd,1541492280000,1640906820000,1150,4.42,3.0786,25,0.551,8386181.70786887,7292.33191988598,8149325.05998492,22326.9179725614
aave-usd,1628623260000,1630242900000,18,382.97,362.9,447.96,343.62,8136622.02554735,452034.556974853,8136622.02554735,22292.1151384859
gntusd,1514390280000,1640944440000,1464,0.887,0.44144,1.5499,0.020892,223882301.471959,152925.069311447,7790413.49946055,21343.598628659
utkusd,1527783360000,1640945820000,1309,0.24,0.33108,1.02,0.0040123,8563424.81685958,6541.95937116851,7572943.07652825,20747.7892507623
fclusd,1626264240000,1640955240000,170,0.14362,0.14273,0.53576,0.10329,7483964.18246624,44023.3187203897,7483964.18246624,20504.0114588116
ocean-usd,1628623380000,1630242720000,18,0.5911,0.85289,1.1117,0.5884,7066923.85018179,392606.880565655,7066923.85018179,19361.4352059775
necusd,1545515460000,1633424940000,1017,0.3,0.078,0.39004,0.03333,12239989.5980394,12035.3880020053,7049028.49377876,19312.4068322706
idxusd,1621331340000,1640954820000,227,0.59865,0.21578,0.68658,0.16448,6962899.4731872,30673.5659611771,6962899.4731872,19076.4369128416
egld-usd,1628623080000,1630242840000,18,137.85,139.42,159.6,123.89,6958764.83888835,386598.046604908,6958764.83888835,19065.1091476393
oxyusd,1620378000000,1640955180000,238,3.1,0.88795,3.2,0.86087,6854090.68275119,28798.7003476941,6854090.68275119,18778.3306376745
sntusd,1515667200000,1640944620000,1449,0.39438,0.069903,0.51999,2.335E-05,100558192.439425,69398.3384675119,6476029.76261907,17742.5472948468
zcnusd,1530313260000,1640947080000,1280,0.477,0.39259,2.5797,0.019999,6469676.53931957,5054.43479634341,6160572.25416912,16878.2801484085
xrausd,1534512900000,1640941320000,1231,0.0791,0.018039,0.08375,0.0039,7514498.49699448,6104.38545653491,6091711.38008498,16689.6202194109
funusd,1515450780000,1640944800000,1452,0.25,0.012252,0.25,0.0011437,83528669.0037419,57526.6315452768,6079139.22839754,16655.1759682124
hmtusd,1632215220000,1640954820000,101,0.97816,0.71472,1.1465,0.6466,5952868.96862905,58939.2967190995,5952868.96862905,16309.2300510385
bntusd,1533798960000,1640942520000,1240,1.8704,3.356,9.3286,0.13611,5664374.93269141,4568.04430055759,5312238.9301378,14554.0792606515
